Years of Service,Hours Per Year,Continuous/Total
1,112,Continuous
2,112,Continuous
3,120,Continuous
4,128,Continuous
5,136,Total
6,136,Total
7,144,Total
8,144,Total
9,144,Total
10,160,Total
11,160,Total
12,160,Total
13,160,Total
14,160,Total
15,176,Total
16,176,Total
17,176,Total
18,176,Total
19,176,Total
20,192,Total
21,192,Total
22,192,Total
23,192,Total
24,192,Total
25+,200,Total
